 trial_no )----------variables-----------sum of variables--------objective value------------------
 197 )  0.259299 + 0.217209 + 0.290474 + 0.233017 +  = 1.000000, objective value => 0.690196 
 198 )  0.382599 + 0.263568 + 0.260132 + 0.093701 +  = 1.000000, objective value => 0.690196 
 199 )  0.007069 + 0.645632 + 0.281455 + 0.065844 +  = 1.000000, objective value => 0.925000 
 200 )  0.424423 + 0.449085 + 0.033331 + 0.093161 +  = 1.000000, objective value => 0.690196 
 201 )  0.152379 + 0.369729 + 0.208854 + 0.269038 +  = 1.000000, objective value => 0.690196 
 202 )  0.428090 + 0.039779 + 0.119840 + 0.412291 +  = 1.000000, objective value => 0.690196 
 203 )  0.308768 + 0.306476 + 0.156014 + 0.228742 +  = 1.000000, objective value => 0.690196 
 204 )  0.216892 + 0.322704 + 0.328146 + 0.132258 +  = 1.000000, objective value => 0.734884 
 205 )  0.019101 + 0.329186 + 0.549380 + 0.102333 +  = 1.000000, objective value => 0.809524 
 206 )  0.419298 + 0.316386 + 0.092725 + 0.171591 +  = 1.000000, objective value => 0.690196 
 207 )  0.190734 + 0.123219 + 0.525841 + 0.160206 +  = 1.000000, objective value => 0.762791 
 208 )  0.145848 + 0.347952 + 0.180371 + 0.325828 +  = 1.000000, objective value => 0.690196 
 209 )  0.263414 + 0.429221 + 0.277329 + 0.030035 +  = 1.000000, objective value => 0.686275 
 210 )  0.406156 + 0.188183 + 0.347750 + 0.057910 +  = 1.000000, objective value => 0.690196 
 211 )  0.382167 + 0.276515 + 0.022811 + 0.318507 +  = 1.000000, objective value => 0.690196 
 212 )  0.309583 + 0.340582 + 0.189338 + 0.160496 +  = 1.000000, objective value => 0.690196 
 213 )  0.008164 + 0.408569 + 0.363419 + 0.219847 +  = 1.000000, objective value => 0.734884 
 214 )  0.159027 + 0.657824 + 0.023188 + 0.159961 +  = 1.000000, objective value => 0.925000 
 215 )  0.273759 + 0.263755 + 0.166966 + 0.295521 +  = 1.000000, objective value => 0.690196 
 216 )  0.611826 + 0.214464 + 0.006112 + 0.167598 +  = 1.000000, objective value => 0.690196 
 217 )  0.356060 + 0.316077 + 0.037235 + 0.290629 +  = 1.000000, objective value => 0.690196 
 218 )  0.297029 + 0.181658 + 0.148005 + 0.373308 +  = 1.000000, objective value => 0.690196 
 219 )  0.034603 + 0.402757 + 0.401030 + 0.161611 +  = 1.000000, objective value => 0.925000 
 220 )  0.283155 + 0.344870 + 0.104237 + 0.267738 +  = 1.000000, objective value => 0.690196 
 221 )  0.609902 + 0.007430 + 0.050488 + 0.332180 +  = 1.000000, objective value => 0.690196 
 222 )  0.345045 + 0.256034 + 0.326499 + 0.072422 +  = 1.000000, objective value => 0.690196 
 223 )  0.289875 + 0.236621 + 0.346160 + 0.127344 +  = 1.000000, objective value => 0.690196 
 224 )  0.299475 + 0.260268 + 0.326860 + 0.113397 +  = 1.000000, objective value => 0.690196 
 225 )  0.093503 + 0.610313 + 0.271950 + 0.024234 +  = 1.000000, objective value => 0.925000 
 226 )  0.194800 + 0.295085 + 0.405140 + 0.104975 +  = 1.000000, objective value => 0.762791 
 227 )  0.211730 + 0.353916 + 0.419300 + 0.015054 +  = 1.000000, objective value => 0.734884 
 228 )  0.082041 + 0.143578 + 0.356692 + 0.417689 +  = 1.000000, objective value => 0.809524 
 229 )  0.492782 + 0.105133 + 0.074827 + 0.327258 +  = 1.000000, objective value => 0.690196 
 230 )  0.199339 + 0.191464 + 0.381102 + 0.228095 +  = 1.000000, objective value => 0.690196 
 231 )  0.232246 + 0.035909 + 0.214259 + 0.517586 +  = 1.000000, objective value => 0.690196 
 232 )  0.305661 + 0.207646 + 0.271143 + 0.215550 +  = 1.000000, objective value => 0.690196 
 233 )  0.263527 + 0.205436 + 0.089052 + 0.441984 +  = 1.000000, objective value => 0.690196 
 234 )  0.013863 + 0.221639 + 0.613208 + 0.151290 +  = 1.000000, objective value => 0.809524 
 235 )  0.405316 + 0.099510 + 0.370359 + 0.124816 +  = 1.000000, objective value => 0.690196 
